profileId,product,tier,executionState,strengthClassification,availabilityRatioDiagnostic,tierDeltaHypothesis,purchaseIntentHypothesis,assessmentRows,customerValueCredit,realCustomerCredit,externalReviewCredit
angel--advanced,angel,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,129,False,False,False
angel--basic,angel,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,129,False,False,False
angel--pro,angel,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,129,False,False,False
audit--advanced,audit,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRUCTURAL_FIXTURE_ONLY_NO_OFFICIAL_TOOL_RUNTIME,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
audit--basic,audit,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRUCTURAL_FIXTURE_ONLY_NO_OFFICIAL_TOOL_RUNTIME,,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
audit--pro,audit,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRUCTURAL_FIXTURE_ONLY_NO_OFFICIAL_TOOL_RUNTIME,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
browser--advanced,browser,advanced,BLOCKED_BROWSER_EXECUTION_NOT_RUN,BLOCKED_NO_BROWSER_RUNTIME,,UNASSESSABLE_NO_BROWSER_RUNTIME,NO_DECISION_RUNTIME_BLOCKED,121,False,False,False
browser--basic,browser,basic,BLOCKED_BROWSER_EXECUTION_NOT_RUN,BLOCKED_NO_BROWSER_RUNTIME,,BASELINE_INTERNAL_HYPOTHESIS,NO_DECISION_RUNTIME_BLOCKED,121,False,False,False
browser--pro,browser,pro,BLOCKED_BROWSER_EXECUTION_NOT_RUN,BLOCKED_NO_BROWSER_RUNTIME,,UNASSESSABLE_NO_BROWSER_RUNTIME,NO_DECISION_RUNTIME_BLOCKED,121,False,False,False
market-impact--advanced,market-impact,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,SIMULATION_ONLY_NO_REALIZED_OUTCOME_CALIBRATION,0.77044,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
market-impact--basic,market-impact,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,SIMULATION_ONLY_NO_REALIZED_OUTCOME_CALIBRATION,0.965409,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
market-impact--pro,market-impact,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,SIMULATION_ONLY_NO_REALIZED_OUTCOME_CALIBRATION,0.91195,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
pdf--advanced,pdf,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_PHYSICAL_PDF_QA_NO_BROWSER_DELIVERY,1.0,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
pdf--basic,pdf,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_PHYSICAL_PDF_QA_NO_BROWSER_DELIVERY,1.0,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
pdf--pro,pdf,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_PHYSICAL_PDF_QA_NO_BROWSER_DELIVERY,1.0,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
real-markets--advanced,real-markets,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.475129,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
real-markets--basic,real-markets,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_INTERNAL_REFERENCE_COVERAGE,0.867925,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
real-markets--pro,real-markets,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,PARTIAL_INTERNAL_REFERENCE_COVERAGE,0.61578,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
risk--advanced,risk,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
risk--basic,risk,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
risk--pro,risk,pro,EXECUTED_INTERNAL_FIXTURE_REGRESSION,BOUNDARY_FIXTURE_ONLY_NO_REAL_MODEL_EXECUTION,,TIER_DELTA_UNPROVEN_NO_FINAL_HOLDOUT,NO_BUY_UNTIL_FINAL_PRO_DELTA_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield--advanced,shield,advanced,EXECUTED_INTERNAL_FIXTURE_REGRESSION,LOW_INTERNAL_COVERAGE_HIGH_UNAVAILABLE_RISK,0.396226,NEGATIVE_COVERAGE_DELTA_RISK,NO_BUY_UNTIL_DISTINCT_ADVANCED_EVIDENCE_PROVEN_INTERNAL_HYPOTHESIS,121,False,False,False
shield--basic,shield,basic,EXECUTED_INTERNAL_FIXTURE_REGRESSION,STRONG_INTERNAL_REFERENCE_COVERAGE,0.757862,BASELINE_INTERNAL_HYPOTHESIS,TRY_FREE_INTERNAL_HYPOTHESIS,121,False,False,False
