profileId,product,tier,assessmentRows,cohortCount,availabilityState,analysisEligible,saleEligible,customerValueCredit,paidReleaseCredit
angel--advanced,angel,advanced,169,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
angel--basic,angel,basic,159,10,SYSTEM_DEGRADED,True,False,False,False
angel--pro,angel,pro,169,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
audit--advanced,audit,advanced,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
audit--basic,audit,basic,149,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
audit--pro,audit,pro,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
browser--advanced,browser,advanced,158,10,RIGHTS_BLOCKED,False,False,False,False
browser--basic,browser,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
browser--pro,browser,pro,158,10,RIGHTS_BLOCKED,False,False,False,False
market-impact--advanced,market-impact,advanced,158,10,RIGHTS_BLOCKED,False,False,False,False
market-impact--basic,market-impact,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
market-impact--pro,market-impact,pro,158,10,RIGHTS_BLOCKED,False,False,False,False
pdf--advanced,pdf,advanced,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
pdf--basic,pdf,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
pdf--pro,pdf,pro,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
real-markets--advanced,real-markets,advanced,158,10,RIGHTS_BLOCKED,False,False,False,False
real-markets--basic,real-markets,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
real-markets--pro,real-markets,pro,158,10,RIGHTS_BLOCKED,False,False,False,False
risk--advanced,risk,advanced,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
risk--basic,risk,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
risk--pro,risk,pro,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
shield--advanced,shield,advanced,158,10,RIGHTS_BLOCKED,False,False,False,False
shield--basic,shield,basic,149,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
shield--pro,shield,pro,158,10,RIGHTS_BLOCKED,False,False,False,False
shield-map--advanced,shield-map,advanced,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
shield-map--basic,shield-map,basic,149,10,SYSTEM_DEGRADED,True,False,False,False
shield-map--pro,shield-map,pro,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
shield-pro--advanced,shield-pro,advanced,158,10,RIGHTS_BLOCKED,False,False,False,False
shield-pro--basic,shield-pro,basic,149,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
shield-pro--pro,shield-pro,pro,158,10,RIGHTS_BLOCKED,False,False,False,False
whale-watch--advanced,whale-watch,advanced,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
whale-watch--basic,whale-watch,basic,149,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
whale-watch--pro,whale-watch,pro,158,10,TEMPORARILY_UNAVAILABLE,False,False,False,False
