category,query,name,depth,status,latencyMs,error,responseBytes,requestedSurface,sourceMode,resolvedSymbol,resolvedName,assetClass,score,customerVerdict,analysisDataStatus,resultConfidence,dataQuality,resultSourceCount,resultLimitations,kernelSurface,kernelDepth,kernelStatus,kernelConfidence,kernelConfidenceCap,kernelSourceCount,kernelSourceFamilies,kernelEvidenceCount,kernelFindingsCount,kernelMissingCount,kernelNextActionsCount,aiMode,aiSurface,aiDepth,aiVerdict,aiConfidence,aiFindingsCount,aiMissingDataCount,customerNarrative,aiOutputHash,aiProviderError,aiDiagnosticSourceCount,aiSignalCount,publicSourceCount,publicProviderCount,publicFactsWithValue,publicMissingFacts,accessMode,paidRequired,qualityOutputStatus,qualityPaidVerified,releaseAllowed,rawPath
real-markets,AAPL,Apple,advanced,422,5255,,178559,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-aapl-advanced.json.gz
real-markets,AAPL,Apple,basic,200,5253,,206400,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,0b543034b6a07c2be1109e2fbaf94260901b1dfa776f57198556a95699cb6033,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-aapl-basic.json.gz
real-markets,AAPL,Apple,pro,422,5257,,178544,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-aapl-pro.json.gz
real-markets,ADS.DE,Adidas,advanced,422,5286,,178418,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-ads.de-advanced.json.gz
real-markets,ADS.DE,Adidas,basic,200,5228,,206251,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,62e22b525f41921ffda69fb05d84768a51a6bdaf549e858e7ea78452aba57ce6,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-ads.de-basic.json.gz
real-markets,ADS.DE,Adidas,pro,422,5286,,178403,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-ads.de-pro.json.gz
real-markets,AMZN,Amazon,advanced,422,5277,,178165,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-amzn-advanced.json.gz
real-markets,AMZN,Amazon,basic,200,5264,,205957,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,5110a07bb0c04f603faef030989514ed9feb37fe40eac530ce1b79e12f481f0e,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-amzn-basic.json.gz
real-markets,AMZN,Amazon,pro,422,5247,,178150,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-amzn-pro.json.gz
real-markets,GOOGL,Alphabet,advanced,422,5265,,178606,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-googl-advanced.json.gz
real-markets,GOOGL,Alphabet,basic,200,5274,,206473,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,296318f39b6f1a4d10a4cbf946258bf82916e517faefc89d78c2bcb6f611518e,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-googl-basic.json.gz
real-markets,GOOGL,Alphabet,pro,422,5253,,178591,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-googl-pro.json.gz
real-markets,MC.PA,LVMH,advanced,422,5255,,179211,real_markets,real_markets,MC.PA,LVMH Moët Hennessy Louis Vuitton SE,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-mc.pa-advanced.json.gz
