category,query,name,depth,status,latencyMs,error,responseBytes,requestedSurface,sourceMode,resolvedSymbol,resolvedName,assetClass,score,customerVerdict,analysisDataStatus,resultConfidence,dataQuality,resultSourceCount,resultLimitations,kernelSurface,kernelDepth,kernelStatus,kernelConfidence,kernelConfidenceCap,kernelSourceCount,kernelSourceFamilies,kernelEvidenceCount,kernelFindingsCount,kernelMissingCount,kernelNextActionsCount,aiMode,aiSurface,aiDepth,aiVerdict,aiConfidence,aiFindingsCount,aiMissingDataCount,customerNarrative,aiOutputHash,aiProviderError,aiDiagnosticSourceCount,aiSignalCount,publicSourceCount,publicProviderCount,publicFactsWithValue,publicMissingFacts,accessMode,paidRequired,qualityOutputStatus,qualityPaidVerified,releaseAllowed,rawPath
shield,ADA,Cardano,advanced,422,8786,,102659,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-ada-advanced.json.gz
shield,ADA,Cardano,basic,200,283,,129899,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,84b1273d0fa78cf42ceb8e8680fd66438fc54096a3bf07d4b73ccf71feb3d10c,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-ada-basic.json.gz
shield,ADA,Cardano,pro,422,8740,,102644,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-ada-pro.json.gz
shield,AVAX,Avalanche,advanced,422,4310,,102696,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-avax-advanced.json.gz
shield,AVAX,Avalanche,basic,200,286,,129955,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,f5382d4125505a6e4c441de651113af3ddc3b8b75b7ade92df70ef65b0ec9573,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-avax-basic.json.gz
shield,AVAX,Avalanche,pro,422,8751,,102681,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-avax-pro.json.gz
shield,BNB,BNB,advanced,422,8749,,101421,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-bnb-advanced.json.gz
shield,BNB,BNB,basic,200,4744,,128826,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,6d93cd20e902857e4fc035857e269d7edb41bf8c6a9ff799c84cba67a3914969,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-bnb-basic.json.gz
shield,BNB,BNB,pro,422,4251,,101406,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-bnb-pro.json.gz
shield,BTC,Bitcoin,advanced,422,8550,,101421,shield,crypto_market_integrity,BTC,BTC,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-btc-advanced.json.gz
