matrixId,caseId,surface,category,tier,locale,expectedOutcome,mustFailClosedOnMissingEvidence,requiresHumanReview,minSourceFamilies,status,matrixFingerprint
shield-001-btc-provider-divergence::basic::pl,shield-001-btc-provider-divergence,shield,provider_divergence,basic,pl,bounded_analysis,False,False,1,NOT_EXECUTED,a176aaf74b538fddf6f2e59b598b2c22ad7ace05072282362ae02e268429e8c4
shield-001-btc-provider-divergence::basic::en,shield-001-btc-provider-divergence,shield,provider_divergence,basic,en,bounded_analysis,False,False,1,NOT_EXECUTED,7ab1e0d488e892dedf9153ee961d265f9ef3cbe693a19310ca970544346cd5d3
shield-001-btc-provider-divergence::basic::de,shield-001-btc-provider-divergence,shield,provider_divergence,basic,de,bounded_analysis,False,False,1,NOT_EXECUTED,be234b823ffc229f53e66d999b94ea668c3d9197c419638e29c0511d3abd24eb
shield-001-btc-provider-divergence::pro::pl,shield-001-btc-provider-divergence,shield,provider_divergence,pro,pl,bounded_analysis,True,False,2,NOT_EXECUTED,04940b3591f4b8f61290dd90571e7b818ae9940380b3a4d2e56f3da31ac0bec9
shield-001-btc-provider-divergence::pro::en,shield-001-btc-provider-divergence,shield,provider_divergence,pro,en,bounded_analysis,True,False,2,NOT_EXECUTED,362a10e87151297d2934bc149bc358015c1f7a921f59f330b67414b073921ad9
shield-001-btc-provider-divergence::pro::de,shield-001-btc-provider-divergence,shield,provider_divergence,pro,de,bounded_analysis,True,False,2,NOT_EXECUTED,9e8759d186cdcf50564ddf4380602aebf91267eb5d1fa6f23030543277070c90
shield-001-btc-provider-divergence::advanced::pl,shield-001-btc-provider-divergence,shield,provider_divergence,advanced,pl,bounded_analysis,True,False,2,NOT_EXECUTED,96cb095fc4a2a59225a246b27b7e9f3eae664e2f1edfb8f948e966b7c4c5c168
shield-001-btc-provider-divergence::advanced::en,shield-001-btc-provider-divergence,shield,provider_divergence,advanced,en,bounded_analysis,True,False,2,NOT_EXECUTED,d308a0f8e203ce3e8119ba4b3ee98992cc6fe4df0bbc79fd48d8aadacc2099ac
shield-001-btc-provider-divergence::advanced::de,shield-001-btc-provider-divergence,shield,provider_divergence,advanced,de,bounded_analysis,True,False,2,NOT_EXECUTED,e0a75866789fc100eb366603ac86c7f56903ae9b26a30aead9d3f24fb6b96dc0
shield-002-eth-stale-primary::basic::pl,shield-002-eth-stale-primary,shield,stale_primary,basic,pl,bounded_analysis,False,False,1,NOT_EXECUTED,8e4c56c60dd3d2ab6428459bdc63ad9c8a9d4f44eea545113f863c1b1bf4f525
shield-002-eth-stale-primary::basic::en,shield-002-eth-stale-primary,shield,stale_primary,basic,en,bounded_analysis,False,False,1,NOT_EXECUTED,763e199767233f41f059b12e9ffdbb2c2e7d1723553924b5b085045157219536
shield-002-eth-stale-primary::basic::de,shield-002-eth-stale-primary,shield,stale_primary,basic,de,bounded_analysis,False,False,1,NOT_EXECUTED,0f1526a69fd2a998d080b818627a29eb4dda8efa9308e0095f7a5f74c088b697
shield-002-eth-stale-primary::pro::pl,shield-002-eth-stale-primary,shield,stale_primary,pro,pl,bounded_analysis,True,False,2,NOT_EXECUTED,3f03cd87ba5b34a26334b28b0e94d3d4e5a253cdbd90a408eb053cf9d48f34fc
shield-002-eth-stale-primary::pro::en,shield-002-eth-stale-primary,shield,stale_primary,pro,en,bounded_analysis,True,False,2,NOT_EXECUTED,f74f1af1d516ce370cfe3060c35b744a32a08a315de9421d083d9880e43f8178
shield-002-eth-stale-primary::pro::de,shield-002-eth-stale-primary,shield,stale_primary,pro,de,bounded_analysis,True,False,2,NOT_EXECUTED,6b285c9230457f655e2fe9e49d086a4660de6c910cceee5140214cda021b2f17
shield-002-eth-stale-primary::advanced::pl,shield-002-eth-stale-primary,shield,stale_primary,advanced,pl,bounded_analysis,True,False,2,NOT_EXECUTED,2178aaa5f1b21d6c59ccadb34db0c456d004c88817aa74f86c45bdd22771d114
shield-002-eth-stale-primary::advanced::en,shield-002-eth-stale-primary,shield,stale_primary,advanced,en,bounded_analysis,True,False,2,NOT_EXECUTED,849a2102406d632f1aedce30529c6b32beeb1dbe658e1910c0dd0a4b6f921e3f
shield-002-eth-stale-primary::advanced::de,shield-002-eth-stale-primary,shield,stale_primary,advanced,de,bounded_analysis,True,False,2,NOT_EXECUTED,d0d9843bdc814ccde5bd86539dbea9835e3d9ee8dfc6819c9bc64ff40e25ed2b
shield-003-sol-exchange-outage::basic::pl,shield-003-sol-exchange-outage,shield,exchange_outage,basic,pl,bounded_analysis,False,False,1,NOT_EXECUTED,47faaced4ddabd5556516d627b3f1658ef17a8a819dc328f608eb4125bc32d2d
shield-003-sol-exchange-outage::basic::en,shield-003-sol-exchange-outage,shield,exchange_outage,basic,en,bounded_analysis,False,False,1,NOT_EXECUTED,9564001bc5fd6534b0ea401ac94bfb26a630741766cbcb049e222de33910e616
